İlan Numarası,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Takas,Yapı Durumu,Site İçerisinde,Banyo Sayısı,Balkon Sayısı,İpotek Durumu,Kira Getirisi,Fiyat Durumu, İlan Oluşturma Tarihi,Türü,Tipi,WC Metrekare,Aidat,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Balkon Metrekare,Banyo Metrekare,Yatırıma Uygunluk,Tapu Durumu,Eşya Durumu,Balkon Durumu,Balkon Tipi,Görüntülü Gezilebilir Mi?,WC Sayısı,Konum,Fiyat
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
14280081,20 Kasım 2023,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Evet,1,1,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,145 M2,4,3,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Evet ,1, Nilüfer,2400000
14280079,25 Kasım 2023,Satılık,40 M2,1+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Hayır,1,,,4000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,100 TL,50 M2,5-10,3,Kiracı Oturuyor,,,,,Eşyalı,Var,,,1 , Nilüfer,1075000
14280051,20 Kasım 2023,Satılık,130 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,1,1,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,145 M2,4,3,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Eşyalı,Var,,Evet ,1, Nilüfer,2400000
14279706,24 Kasım 2023,Satılık,140 M2,4+1,Düz Giriş (Zemin),Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2,2,,10 TL,Birim Fiyat ,20 Kasım 2023,Konut,Daire,,0 TL,170 M2,4,5,Mülk Sahibi Oturuyor,6 M2,8 M2,,,,Var,Açık Balkon,,, Osmangazi,2500000
14279239,20 Kasım 2023,Satılık,85 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,,İkinci El,Hayır,1,,,8000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,50 TL,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,1, Osmangazi,1500000
14279061,20 Kasım 2023,Satılık,75 M2,2+1,Kot 1 (-1).Kat,Merkezi Doğalgaz,Bilinmiyor,,,,Evet,1 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,150 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,,,,,,,,,, Gemlik,920000
14279027,25 Kasım 2023,Satılık,125 M2,3+1,,Doğalgaz Sobalı,KREDIYE UYGUN,Betonarme,,İkinci El,Hayır,1,,,,Genel Fiyat ,20 Kasım 2023,Konut,Müstakil Ev,,,130 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,,,Müstakil Tapulu,Boş,Var,,,1 , Osmangazi,2300000
14278900,22 Kasım 2023,Satılık,60 M2,2+1,1.Kat,Isıtma Yok,Krediye Uygun Değil,,,,Hayır,1 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Yazlık,,,127 M2,0 (Yeni),1,Mülk Sahibi Oturuyor,,,,,,,,,, Mudanya,2500000
14278790,20 Kasım 2023,Satılık,160 M2,3+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,209 M2,0 (Yeni),3,Boş,,,,,,Var ,,,, Gemlik,2600000
14278577,20 Kasım 2023,Satılık,260 M2,4+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,3,,,15000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,280 M2,0 (Yeni),4,Boş,,,,,,Var ,,,, Gemlik,3800000
14278103,20 Kasım 2023,Satılık,256 M2,5+1,,Yerden Isıtma,KREDIYE UYGUN,,Var,,Hayır,3 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Villa,,,300 M2,3,3,Boş,,,Bilinmiyor,,Boş,,,,, Gemlik,12000000
14278095,20 Kasım 2023,Satılık,110 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,125 M2,4,3,Kiracı Oturuyor,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Gemlik,1595000
14278089,20 Kasım 2023,Satılık,85 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Evet,1 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,100 M2,4,3,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Gemlik,1795000
14278047,20 Kasım 2023,Satılık,90 M2,2.5+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,2 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,100 M2,5-10,7,Boş,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,2675000
14277915,20 Kasım 2023,Satılık,128 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,2 ,,,,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,,140 M2,3,5,Boş,,,Bilinmiyor,,Boş,,,,, Nilüfer,3790000
14277124,20 Kasım 2023,Satılık,83 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,10000 TL,Genel Fiyat ,20 Kasım 2023,Konut,Daire,,90 TL,98 M2,3,3,Kiracı Oturuyor,,,,,,Var ,,,, Nilüfer,2400000
14276738,19 Kasım 2023,Satılık,80 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,90 M2,4,3,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Osmangazi,1750000
14276738,19 Kasım 2023,Satılık,80 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,90 M2,4,3,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Osmangazi,1750000
14276711,22 Kasım 2023,Satılık,85 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Evet,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,100 M2,2,6,Boş,,,Bilinmiyor,,Boş,,,,, Mudanya,2050000
14276502,19 Kasım 2023,Satılık,200 M2,6+2,,Sobalı,Bilinmiyor,Betonarme,Yok,İkinci El,Evet,6+,1,Yok,,Genel Fiyat ,19 Kasım 2023,Konut,Villa,,,300 M2,5-10,3,Boş,,,Yatırıma Uygun,Arsa Tapulu,Boş,Var,Açık Teras,Hayır ,6+, Mudanya,7150000
14276485,19 Kasım 2023,Satılık,150 M2,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Var,İkinci El,Evet,1,2,Yok,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,25018 TL,180 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,,Kat İrtifakı,Boş,Var,"Açık Balkon, Kapalı Balkon",Hayır ,2, Gemlik,2575000
14276475,19 Kasım 2023,Satılık,180 M2,4+1,2.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,3,4 +,Yok,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,1100 TL,200 M2,21 Ve Üzeri,5,Kiracı Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,"Açık Balkon, Kapalı Balkon",Hayır ,3, Osmangazi,4100000
14276174,19 Kasım 2023,Satılık,122 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,135 M2,2,1,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Osmangazi,2275000
14275990,19 Kasım 2023,Satılık,135 M2,3+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,145 M2,5-10,3,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Osmangazi,2000000
14275932,22 Kasım 2023,Satılık,85 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Hayır,1,2,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,90 M2,21 Ve Üzeri,4,Boş,,,,,,Var,"Açık Balkon, Kapalı Balkon ",,, Gemlik,1800000
14275921,22 Kasım 2023,Satılık,82 M2,2+1,4.Kat,Isıtma Yok,Krediye Uygun,Betonarme,,İkinci El,Hayır,1,1 ,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,85 M2,21 Ve Üzeri,4,Boş,,,Bilinmiyor,,,Var,,,, Gemlik,1360000
14275902,22 Kasım 2023,Satılık,83 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,Sıfır,Hayır,1,2,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,85 M2,0 (Yeni),4,Boş,,,,,,Var,Açık Balkon ,,, Gemlik,2500000
14275828,25 Kasım 2023,Satılık,135 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,,Hayır,2,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,140 M2,0 (Yeni),3,Boş,,,,Kat İrtifakı,,,,,2 , Mudanya,4000000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
14275777,23 Kasım 2023,Satılık,80 M2,2+1,,Kombi Doğalgaz,Krediye Uygun Değil,Betonarme,Yok,İkinci El,Hayır,1,,,7000 TL,Genel Fiyat ,19 Kasım 2023,Konut,Bina,8 M2,0 TL,100 M2,21 Ve Üzeri,2,Kiracı Oturuyor,,8 M2,,,Boş,Yok,,Hayır ,1, Osmangazi,2600000
14275638,19 Kasım 2023,Satılık,132 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,,,Evet,1,2,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,0 TL,150 M2,1,5,Boş,,,,,,Var,Açık Balkon ,,, İznik,3200000
14275543,19 Kasım 2023,Satılık,119 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,İkinci El,Hayır,1,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,128 M2,5-10,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Yok,,Hayır ,, Osmangazi,1750000
14274942,21 Kasım 2023,Satılık,55 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,60 M2,1,6,Kiracı Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1430000
14274748,19 Kasım 2023,Satılık,200 M2,4+1,4.Kat,Merkezi Doğalgaz,Krediye Uygun,,Yok,,Evet,2 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,235 M2,16-20,7,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Osmangazi,3650000
14274743,19 Kasım 2023,Satılık,120 M2,3+1,6.Kat,Yerden Isıtma,Krediye Uygun Değil,,Yok,,Evet,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,135 M2,0 (Yeni),10,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Nilüfer,3050000
14274616,19 Kasım 2023,Satılık,60 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,80 M2,3,5,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Osmangazi,2600000
14274378,24 Kasım 2023,Satılık,45 M2,1+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1,1,Yok,8000 TL,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,250 TL,55 M2,5-10,4,Boş,,,,Kat Mülkiyeti,Eşyalı,Var,,,1 , Nilüfer,1365000
14274369,19 Kasım 2023,Satılık,120 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,135 M2,0 (Yeni),4,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Karacabey,1700000
14274366,19 Kasım 2023,Satılık,90 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,100 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Karacabey,850000
14274185,19 Kasım 2023,Satılık,120 M2,3+1,2.Kat,Kat Kaloriferi,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,130 M2,0 (Yeni),3,Boş,,,Bilinmiyor,,Boş,,,,, Osmangazi,2750000
14274131,19 Kasım 2023,Satılık,60 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,1 ,,,,Genel Fiyat ,19 Kasım 2023,Konut,Daire,,,65 M2,0 (Yeni),6,Kiracı Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1550000
14273956,19 Kasım 2023,Satılık,100 M2,2+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,110 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,Kat İrtifakı,Eşyalı,,,,, Osmangazi,3500000
14273938,18 Kasım 2023,Satılık,110 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1,1,Yok,8000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,80 TL,120 M2,5-10,5,Boş,6 M2,7 M2,,Kat Mülkiyeti,,Var,Kapalı Balkon,Hayır ,2, Kestel,2350000
14273877,24 Kasım 2023,Satılık,100 M2,3+1,4.Kat,Merkezi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,2,Yok,15000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,500 TL,120 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,Boş,Var,,Hayır ,1, Yıldırım,3160000
14273759,19 Kasım 2023,Satılık,220 M2,4+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,230 M2,11-15,5,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Yıldırım,2650000
14273665,23 Kasım 2023,Satılık,85 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1,2,Yok,8500 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,0 TL,95 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Kapalı Balkon,Hayır ,2, Yıldırım,1360000
14273635,19 Kasım 2023,Satılık,90 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,95 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Gemlik,680000
14273410,20 Kasım 2023,Satılık,75 M2,3+1,,Kombi Doğalgaz,Bilinmiyor,,,,Hayır,1,,,,Genel Fiyat ,18 Kasım 2023,Konut,Müstakil Ev,2 M2,,207 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,,,,,,,,,1, İnegöl,3500000
14273362,22 Kasım 2023,Satılık,89 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Evet,1,1,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,90 M2,5-10,4,Boş,,,,,,Var,Açık Balkon ,,, Gemlik,18500002
14273357,19 Kasım 2023,Satılık,174 M2,4+1,Bodrum Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,200 M2,4,2,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,2590000
14273355,19 Kasım 2023,Satılık,115 M2,3+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,125 M2,2,13,Boş,,,Bilinmiyor,,Boş,,,,, Osmangazi,2900000
14273299,22 Kasım 2023,Satılık,82 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Hayır,1,2,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,85 M2,21 Ve Üzeri,4,Boş,,,,,,Var,"Açık Balkon, Kapalı Balkon ",,, Gemlik,2000000
14273284,20 Kasım 2023,Satılık,90 M2,2+1,2.Kat,Sobalı,Krediye Uygun,,,İkinci El,Hayır,1,1,,,Genel Fiyat ,18 Kasım 2023,Konut,Yazlık,,,95 M2,5-10,2,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Kapalı Balkon,,1, Karacabey,1950000
14273252,19 Kasım 2023,Satılık,220 M2,4+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,240 M2,5-10,3,Boş,,,Bilinmiyor,,,,,,, Nilüfer,8100000
14273210,18 Kasım 2023,Satılık,90 M2,2+1,Yüksek Giriş,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,105 M2,5-10,2,Mülk Sahibi Oturuyor,,,,Kat Mülkiyeti,,,,,, Osmangazi,1890000
14273156,19 Kasım 2023,Satılık,120 M2,3+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,135 M2,11-15,4,Mülk Sahibi Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,2150000
14273154,19 Kasım 2023,Satılık,70 M2,1+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,80 M2,5-10,4,Boş,,,Bilinmiyor,Kat İrtifakı,Eşyalı,,,,, Nilüfer,1400000
14273152,19 Kasım 2023,Satılık,65 M2,1+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,70 M2,5-10,4,Boş,,,Bilinmiyor,Kat İrtifakı,Eşyalı,,,,, Nilüfer,1100000
14184050,06 Kasım 2023,Satılık,95 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,,Genel Fiyat ,30 Ekim 2023,Konut,Daire,,,105 M2,11-15,3,Mülk Sahibi Oturuyor,,,,,,Var ,,,, Yıldırım,975000
14273151,19 Kasım 2023,Satılık,60 M2,1+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,75 M2,5-10,4,Boş,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1400000
14273080,19 Kasım 2023,Satılık,180 M2,4+1,,Sobalı,Krediye Uygun Değil,,Yok,,Hayır,4 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Müstakil Ev,,,250 M2,0 (Yeni),2,Boş,,,Bilinmiyor,,,,,,, Gemlik,3850000
14273021,20 Kasım 2023,Satılık,100 M2,2+1,Düz Giriş (Zemin),Doğalgaz Sobalı,Krediye Uygun,,Yok,İkinci El,Hayır,1,1,Yok,0 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,1 M2 ,50 TL,120 M2,21 Ve Üzeri,4,Boş,5 M2,2 M2,,Kat Mülkiyeti,Boş,Var,Açık Balkon,,1, Yıldırım,975000
14272529,24 Kasım 2023,Satılık,125 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,1,,0 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,50 TL,150 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,4 M2 ,,,,,Var,Açık Balkon,,, Yıldırım,1575000
14272500,25 Kasım 2023,Satılık,110 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Hayır,1,1,Yok,,Genel Fiyat,18 Kasım 2023,Konut,Daire,,,120 M2,11-15,3,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,Kapalı Balkon,Evet ,1, Nilüfer,2300000
14272471,18 Kasım 2023,Satılık,230 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,,İkinci El,Hayır,2,,,20000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,50 TL,240 M2,5-10,3,Kiracı Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,,,2 , Nilüfer,2950000
14272233,19 Kasım 2023,Satılık,137 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,150 M2,21 Ve Üzeri,4,Kiracı Oturuyor,,,Bilinmiyor,,Boş,,,,, Nilüfer,3125000
14272192,24 Kasım 2023,Satılık,160 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,2,2,Yok,0 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,2 M2 ,500 TL,180 M2,4,4,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,"Açık Balkon, Kapalı Balkon",,2, İnegöl,4800000
14272085,20 Kasım 2023,Satılık,75 M2,2+0,Bahçe Katı,Sobalı,Krediye Uygun Değil,,Var,Sıfır,Hayır,1,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,273 M2,0 (Yeni),1,Boş,,,Yatırıma Uygun,Arsa Tapulu,Boş,Var,,,, İznik,4250000
14271939,24 Kasım 2023,Satılık,80 M2,2+1,4.Kat,Doğalgaz Sobalı,Krediye Uygun,Betonarme,,İkinci El,Hayır,1,1,Yok,0 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,50 TL,95 M2,21 Ve Üzeri,4,Boş,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Açık Balkon,,1 , Yıldırım,825000
14271852,21 Kasım 2023,Satılık,120 M2,3+1,5.Kat,Sobalı,Krediye Uygun,,,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,125 M2,21 Ve Üzeri,5,Boş,,,,,,,,,, Gemlik,750000
14271830,18 Kasım 2023,Satılık,110 M2,3+1,3.Kat,Yerden Isıtma,Krediye Uygun,,Yok,Sıfır,Hayır,1,1,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,125 M2,0 (Yeni),4,Boş,,,Yatırıma Uygun,Müstakil Tapulu,Boş,Var,Açık Balkon,Hayır ,, İnegöl,1900000
14271723,19 Kasım 2023,Satılık,125 M2,2+1,,Yerden Isıtma,Krediye Uygun Değil,,Var,,Evet,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Villa,,,525 M2,0 (Yeni),1,Boş,,,Bilinmiyor,,Boş,,,,, İznik,5500000
14271411,25 Kasım 2023,Satılık,70 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Yok,İkinci El,Evet,1,1,Yok,10000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,75 M2,16-20,5,Boş,,,Yatırıma Uygun,Kat İrtifakı,Boş,Var,Açık Balkon,Evet ,1, Mudanya,1850000
14271232,18 Kasım 2023,Satılık,135 M2,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Evet,1,1,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,145 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,,,Yatırıma Uygun,Kat Mülkiyeti,,Var,,,1 , Orhangazi,1850000
14270600,19 Kasım 2023,Satılık,50 M2,1+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Hayır,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,55 M2,5-10,4,Kiracı Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1199000
14270598,19 Kasım 2023,Satılık,50 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,60 M2,3,6,Kiracı Oturuyor,,,Bilinmiyor,,Eşyalı,,,,, Nilüfer,1679000
14270573,25 Kasım 2023,Satılık,85 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,1,,,10000 TL,Birim Fiyat ,18 Kasım 2023,Konut,Daire,,,90 M2,21 Ve Üzeri,4,Boş,,,,,,Var ,,,, Osmangazi,1100000
14270443,22 Kasım 2023,Satılık,270 M2,5+1,Çatı Dubleks,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,2,3 ,,15000 TL,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,300 M2,5-10,4,Boş,,,,Kat Mülkiyeti,,Var,,,, Mustafakemalpaşa,2550000
14270291,19 Kasım 2023,Satılık,500 M2,9+ Oda,,Kombi Doğalgaz,KREDIYE UYGUN,,Yok,,Hayır,4 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Müstakil Ev,,,575 M2,4,4,Mülk Sahibi Oturuyor,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Osmangazi,7750000
14270174,19 Kasım 2023,Satılık,235 M2,5+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,,Var,,Hayır,2 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,260 M2,0 (Yeni),3,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Gemlik,2700000
14270173,19 Kasım 2023,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Yok,,Evet,1 ,,,,Genel Fiyat ,18 Kasım 2023,Konut,Daire,,,130 M2,21 Ve Üzeri,7,Boş,,,Bilinmiyor,Kat İrtifakı,Boş,,,,, Gemlik,2200000
